HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
0.0,62.189,18.445,0.024,19.4786,64.6373,1.935,56.1044,55.0
62.93,63.2871,18.4538,0.024,18.38,64.6373,1.8988,56.1044,55.0
4.655,64.2052,18.5593,0.0248,16.732,65.6274,1.9189,53.7462,55.0
0.0,63.2871,18.7703,0.0245,17.5865,64.6733,1.943,55.6364,55.0
64.085,63.2871,18.9286,0.0252,18.0138,64.6733,1.8988,55.6364,55.0
23.36,64.8353,19.0341,0.0239,16.732,65.7894,1.8948,55.6364,55.0
0.0,63.9172,19.3502,0.0239,17.6476,64.8353,1.939,55.6364,55.0
5.255,63.9172,19.5058,0.0234,18.8072,64.8353,1.935,54.3762,55.0
59.84,63.9172,19.6103,0.0231,18.8072,64.8353,1.8908,54.3762,55.0
0.0,64.9253,19.7596,0.0234,18.2274,65.6274,1.9229,54.3762,55.0
0.0,64.1152,19.9761,0.0226,19.4176,64.7993,1.939,56.5545,55.0
23.52,64.1152,19.9666,0.0216,20.0279,64.7993,1.931,53.3681,55.0
57.58,64.8353,20.0806,0.0243,18.5326,65.6274,1.8908,56.0144,55.0
0.0,64.8353,20.4464,0.0234,19.7533,65.6274,1.9269,53.8362,55.0
1.41,64.8353,20.3654,0.0234,20.5162,64.5113,1.935,55.2763,55.0
60.275,64.8353,20.3481,0.0239,20.089,64.5113,1.8908,55.2763,55.0
0.0,64.8353,20.4496,0.0239,19.1124,65.4653,1.9189,53.5662,55.0
0.0,63.7372,20.4496,0.0234,19.5396,64.6733,1.943,55.9244,55.0
57.08,62.7471,20.5512,0.0213,19.5396,64.6733,1.939,55.9244,55.0
25.81,64.4753,20.6527,0.0251,17.9833,65.7894,1.8908,54.5563,55.0
0.0,63.2871,20.673,0.0229,19.0514,64.7993,1.931,53.6562,55.0
37.02,62.189,20.4293,0.0245,20.5162,64.7993,1.935,53.6562,55.0
61.705,62.189,20.3654,0.0251,20.0584,65.5194,1.8747,53.6562,55.0
0.0,62.189,20.1946,0.0223,21.6148,65.5194,1.9269,53.6562,55.0
31.1,60.5509,19.9891,0.022,23.3848,64.3672,1.935,55.4563,55.0
29.94,61.919,19.7202,0.0237,22.3167,65.9514,1.8948,55.4563,55.0
0.0,60.8209,19.4465,0.0237,23.7205,64.7633,1.943,55.4563,55.0
77.835,60.8209,18.9423,0.024,23.7205,64.7633,1.8988,55.4563,55.0
0.0,61.4689,18.8319,0.024,21.2791,65.7894,1.9189,55.4563,55.0
0.0,60.1908,18.6662,0.022,22.4693,64.6373,1.939,54.0162,55.0
73.355,60.1908,18.65,0.022,21.4928,64.6373,1.8948,54.0162,55.0
0.0,60.1908,18.5195,0.0246,21.7369,65.3213,1.931,55.6364,55.0
13.14,59.5608,18.4417,0.0249,23.629,64.4032,1.943,55.6364,55.0
57.115,60.2808,18.2149,0.0249,21.7674,65.7534,1.8627,54.5563,55.0
0.0,59.6508,18.2772,0.0237,23.6595,64.9973,1.935,55.3663,55.0
60.165,58.5527,18.1041,0.022,24.8192,64.9973,1.943,54.3762,55.0
0.0,60.3708,17.9888,0.0242,22.3167,66.0774,1.8988,54.3762,55.0
0.0,59.0027,17.7004,0.0254,24.2699,64.6373,1.943,54.3762,55.0
78.185,59.0027,17.5506,0.0254,23.3848,65.3213,1.8627,55.3663,55.0
0.0,59.0027,17.3179,0.0246,23.8731,65.3213,1.939,55.3663,55.0
49.83,59.0027,17.1433,0.0252,24.3614,64.2772,1.947,54.6463,55.0
2.135,60.1008,16.8688,0.0228,21.92,66.1134,1.8988,54.6463,55.0
0.0,58.5527,16.8842,0.0249,24.4224,64.6373,1.939,54.6463,55.0
84.29,58.5527,16.5292,0.0249,24.8802,64.6373,1.8988,55.2763,55.0
0.0,59.4527,16.6003,0.0243,23.3543,65.6274,1.939,55.2763,55.0
12.95,58.3726,16.481,0.0248,25.1243,64.4753,1.935,55.2763,55.0
66.61,59.0927,16.3021,0.0251,23.0186,65.7174,1.8547,55.2763,55.0
0.0,59.0927,16.0098,0.0228,24.453,64.9253,1.943,55.2763,55.0
71.415,58.0126,16.0098,0.0234,25.399,64.2052,1.943,55.2763,55.0
0.0,59.4527,15.8935,0.0251,22.8966,65.9514,1.8948,54.6463,55.0
1.03,57.9226,15.7722,0.0245,24.6666,64.6733,1.935,54.6463,55.0
85.21,57.9226,15.7132,0.0245,23.3543,64.6733,1.8587,55.2763,55.0
0.0,58.7327,15.5909,0.0249,23.3543,64.6733,1.939,55.2763,55.0
45.135,58.1026,15.5905,0.0228,24.0867,64.6733,1.943,55.2763,55.0
7.235,59.5608,15.5905,0.0222,21.6148,66.0774,1.9029,55.2763,55.0
0.0,58.1926,15.4673,0.026,23.7205,64.6733,1.935,55.2763,55.0
84.115,58.1926,15.527,0.0248,22.4998,64.6733,1.8587,55.2763,55.0
0.0,59.0027,15.4028,0.0245,22.4998,64.6733,1.939,54.6463,55.0
62.965,58.2826,15.344,0.0245,22.9576,64.6733,1.939,55.2763,55.0
7.34,59.6508,15.2208,0.0254,20.6383,65.7174,1.8988,55.2763,55.0
28.45,57.8326,15.2208,0.0231,22.4998,64.3672,1.939,54.6463,55.0
47.08,59.3627,15.1543,0.0217,19.9059,66.1134,1.8587,55.6364,55.0
0.0,58.1926,15.2785,0.0249,21.7674,64.7093,1.939,54.7363,55.0
85.36,58.1926,15.2785,0.0249,22.0116,64.7093,1.8547,55.3663,55.0
0.0,59.2727,15.4028,0.0249,22.0116,64.7093,1.935,54.7363,55.0
47.075,58.2826,15.6512,0.0249,23.7205,64.7093,1.935,54.7363,55.0
0.0,59.6508,15.7133,0.0252,21.4928,65.9874,1.9269,54.7363,55.0
2.745,58.5527,15.6512,0.0248,23.9342,64.5113,1.939,54.7363,55.0
