HeatOutputPercent,MixedAirTemp,OutdoorAirEnthalpyReference,SpacePressSetpoint,SpacePressActive,SpaceRelativeHumidityActive,SpaceTemp,SpaceTempSetpointActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint
24.935,62.189,18.2807,0.025,0.0349,25.3238,68.3276,61.0282,2.3966,59.1827,58.0
92.98,63.0171,18.2807,0.025,0.0355,24.0726,69.0837,61.0282,2.3123,59.1827,58.0
73.665,61.739,18.2807,0.025,0.0355,26.575,67.3015,61.0282,2.4127,57.3645,58.0
50.535,63.6472,18.3418,0.025,0.0338,22.8519,69.4437,61.0282,2.3485,57.3645,58.0
100.0,62.459,18.2953,0.025,0.0321,24.6829,68.2016,61.0282,2.3043,59.1827,58.0
43.33,62.459,18.4156,0.025,0.0353,25.0492,68.2016,61.0282,2.3926,56.7345,58.0
62.935,63.6472,18.2953,0.025,0.0353,22.2415,69.4437,61.0282,2.3485,57.7246,58.0
100.0,62.5491,18.2109,0.025,0.0342,23.9505,67.9676,61.0282,2.3525,59.0927,58.0
33.305,63.2871,18.1266,0.025,0.035,22.7298,67.9676,61.0282,2.3846,56.3744,58.0
84.075,63.2871,18.1266,0.025,0.0339,21.265,69.2457,61.0282,2.2963,58.1926,58.0
97.43,61.919,18.1595,0.025,0.033,24.6829,67.3375,61.0282,2.3404,58.1926,58.0
18.18,63.6472,18.1595,0.025,0.0353,21.9364,69.1197,61.0282,2.3766,56.2844,58.0
100.0,62.8371,17.9248,0.025,0.0359,22.5162,68.2556,61.0282,2.3083,58.6427,58.0
20.265,62.8371,18.0082,0.025,0.0359,22.9435,68.2556,61.0282,2.3966,57.6346,58.0
92.42,63.4671,18.0916,0.025,0.0341,21.2039,68.9577,61.0282,2.3364,56.8245,58.0
64.265,62.189,17.9248,0.025,0.0356,23.3097,67.3375,61.0282,2.4207,59.0927,58.0
46.17,63.6472,18.2195,0.025,0.0356,20.2579,69.2457,61.0282,2.3766,56.9145,58.0
100.0,62.8371,18.1321,0.025,0.0335,21.6922,68.4897,61.0282,2.3003,58.4626,58.0
